85,4-19,4.34E-08,2.65E-05,0.9321,170.1,0.0001541,0.757,2.81E+04,8.46E-03
86,4-21,6.89E-09,7.35E-05,0.8662,30.72,9.36E-05,0.792,2.08E+04,2.57E-03
87,4-22,0.0002319,3.09E-05,0.9343,25.35,0.0002982,0.5865,1.55E+04,9.22E-03
88,4-25,2.49E-08,2.74E-05,0.9333,84.48,8.47E-05,0.758,2.77E+04,3.63E-03
89,4-28,1.31E-08,2.77E-05,0.9206,106.5,0.0001116,0.8031,1.83E+04,5.53E-03
90,4-31,3.06E-07,2.64E-05,0.9414,86.23,0.0003581,0.6766,1.33E+04,9.35E-03
91,5-1,7.63E-09,2.29E-05,0.9428,120,8.49E-05,0.651,4.41E+04,3.54E-03
92,5-2,0.001891,4.64E-05,0.8944,148.2,0.0001212,0.6256,1.519E004.,0.005403
93,5-3,0.007399,8.73E-06,0.9882,65.52,4.40E-05,0.6765,3.62E+04,2.65E-03
94,5-4,2.11E-09,1.47E-05,0.9765,428.6,0.0001461,0.7547,2.35E+04,7.40E-03
95,5-5,1.53E-09,5.55E-05,0.8968,45.98,7.46E-05,0.732,3.78E+04,1.45E-03
96,5-6,1.48E-07,5.80E-05,0.9017,141.2,0.0003355,0.8772,2.65E+04,4.69E-03
97,5-7,0.00477,1.19E-05,0.995,45.88,1.09E-05,0.8698,1.76E+04,1.33E-02
98,5-8,1.69E-08,3.09E-05,0.9434,1075,5.48E-05,0.6365,5.45E+05,9.11E-03
99,5-9,1.42E-08,4.74E-05,0.9024,980.1,8.07E-05,0.6765,1.45E+04,4.06E-02
100,5-12,0.002601,4.43E-05,0.9344,177.9,0.0001962,0.7625,3.88E+04,5.48E-03
101,5-19,1.21E-12,6.02E-05,0.8374,62.89,0.0005086,0.9421,1.01E+04,1.55E-02
102,5-26,1.37E-09,2.75E-05,0.9261,64.88,6.27E-05,0.868,6.19E+04,1.71E-02
103,5-27,1.15E-07,0.002235,0.6666,0.9837,0.009541,0.7542,339.4,0.01401
104,5-32,0.001458,6.61E-05,0.8765,120.1,0.0001895,0.79,1.37E+04,1.53E-02
105,5-33,0.0007509,8.72E-05,0.8825,38.57,9.77E-05,0.8353,2.00E+04,7.65E-03
