Distance measure,K,Acc,Kappa
jsd_d,1,0.48936170212765956,0.3685094471658502
jsd_d,2,0.5319148936170213,0.3897904986721747
jsd_d,3,0.5212765957446809,0.3765659543109801
jsd_d,4,0.5,0.3475114458721016
jsd_d,5,0.5212765957446809,0.36562687462507504
jsd_d,6,0.5212765957446809,0.3607374943327793
jsd_d,7,0.5212765957446809,0.3662921348314607
jsd_d,8,0.5212765957446809,0.3643876784372652
jsd_d,9,0.5106382978723404,0.3505557224391709
jsd_d,10,0.5212765957446809,0.36496021618375624
jsd_d,11,0.5212765957446809,0.3684681994625262
jsd_d,12,0.48936170212765956,0.3206865401987353
jsd_d,13,0.5,0.33483890394459503
jsd_d,14,0.5,0.3362379807692307
jsd_d,15,0.5,0.3376311844077961
jsd_d,16,0.5106382978723404,0.3500676386592514
jsd_d,17,0.5,0.3331320754716981
jsd_d,18,0.5,0.33202298155427884
jsd_d,19,0.48936170212765956,0.3149104160340115
jsd_d,20,0.4787234042553192,0.3035984275778652
jsd_d,21,0.4787234042553192,0.29593396514827275
jsd_d,22,0.4787234042553192,0.2962566844919787
jsd_d,23,0.48936170212765956,0.31082938750572775
jsd_d,24,0.4787234042553192,0.2962566844919787
maha_d,1,0.35106382978723405,0.18735827664399093
maha_d,2,0.3191489361702128,0.12811594202898555
maha_d,3,0.3191489361702128,0.12507271669575337
maha_d,4,0.3617021276595745,0.17119764878765611
maha_d,5,0.35106382978723405,0.15825014679976515
maha_d,6,0.30851063829787234,0.10357981220657278
maha_d,7,0.32978723404255317,0.11979785969084418
maha_d,8,0.2978723404255319,0.09311504166057592
maha_d,9,0.3191489361702128,0.1169822398356084
maha_d,10,0.3191489361702128,0.1163337250293772
maha_d,11,0.30851063829787234,0.10265824643853719
maha_d,12,0.2872340425531915,0.07300559317044457
maha_d,13,0.2978723404255319,0.0919203747072599
maha_d,14,0.2978723404255319,0.0919203747072599
maha_d,15,0.30851063829787234,0.10919959177722699
maha_d,16,0.30851063829787234,0.10698626132709735
maha_d,17,0.2978723404255319,0.09311504166057592
maha_d,18,0.2872340425531915,0.08098642930103608
maha_d,19,0.2765957446808511,0.06903582872123508
maha_d,20,0.26595744680851063,0.05520757465404223
